id	revid	url	title	line
125202	824068	https://he.wikipedia.org/wiki?curid=125202	הפדרציה הבין-לאומית לטניס	"הפדרציה הבין־לאומית לטניס (באנגלית: International Tennis Federation, בראשי תיבות: ITF) היא הפדרציה הבין־לאומית המנהלת את ענף הטניס בעולם. היא מאגדת התאחדויות טניס של 211 מדינות. נוסדה ב-1913 בפריז ונקראה במקור (עד 1977) ""פדרציית טניס-דשא בין־לאומית"" (ILTF) מכיוון שבאותם ימים טניס שוחק כמעט רק על מגרש דשא. משרדיה נמצאים בלונדון ונשיאה הנוכחי הוא דייוויד האגרטי מארצות הברית. 
התחרויות העיקריות המאורגנות על ידי ה- ITF הן גביע דייוויס, גביע הפדרציה והטורניר האולימפי בטניס."
1267328	27760	https://he.wikipedia.org/wiki?curid=1267328	1981 בספורט	"ג'ודו.
אליפות העולם בג'ודו לגברים נערכה במאסטריכט שבהולנד. יפן זכתה ב-4 מדליות זהב(6 בסה""כ), ברית המועצות במדליית זהב (4 בסה""כ), צרפת במדליית זהב (3 בסה""כ), קוריאה הדרומית במדליית זהב (3 בסה""כ) ובריטניה במדליית זהב.
טניס.
גביע דייוויס.
נבחרת ארצות הברית () זכתה בגביע לאחר ניצחון 1-3 על נבחרת ארגנטינה ().
כדורסל.
תחרויות בינלאומיות.
אליפות אירופה.
נבחרת ברית המועצות () זוכה באליפות.
אליפות דרום אמריקה.
אורוגוואי () זכתה באליפות וברזיל () זכתה במקום השני.
גביע אירופה לאלופות.
מכבי תל אביב () זכתה באליפות לאחר שניצחה בגמר את וירטוס בולוניה ().
גביע אירופה למחזיקות גביע.
קאנטו () מנצחת את ברצלונה () 82:86."
22616	30670973	https://he.wikipedia.org/wiki?curid=22616	אינטגרציה גזעית	"אִינְטֶגְרַצְיָה גִּזְעִית (או דֶסֶגְרֶגַצְיָה) הוא גישה לפיה מונעים סגרגציה (הפרדה גזעית) בקרב גזעים שונים באותה המדינה על ידי מתן זכויות שוות והזדמנויות שוות, וגם אפליה מתקנת. המונח מתייחס בעיקר לדסגרגציה בארצות הברית.
ארצות הברית.
המאבק לאינטגרציה גזעית הוא מרכיב חשוב במאבק האפרו-אמריקאים לשיווי זכויות.
צעד בולט להחלתה של אינטגרציה גזעית בארצות הברית היה החלטתו התקדימית של בית המשפט העליון של ארצות הברית, שניתנה בשנת 1954 בפסק דין בראון נגד מועצת החינוך, ובה נקבע כי ההפרדה הגזעית שהייתה נהוגה עד אז בבתי ספר נוגדת את החוקה האמריקאית ולפיכך אינה חוקית. ההחלטה נתקלה בהתנגדות עזה של מושל מדינת ארקנסו, התנגדות שגרמה להתערבות של כוח צבאי פדרלי כדי לאכוף את מימוש ההחלטה (אירוע הידוע כמשבר ליטל רוק).
בדצמבר 1955 עמד מרטין לותר קינג בראש חרם על התחבורה הציבורית במונטגומרי שבאלבמה, שמטרתו הפסקת ההפרדה בין שחורים ללבנים באוטובוסים; החרם נמשך כשנה, ובסופו של דבר החליט בית המשפט העליון להוציא מחוץ לחוק את האפליה בתחבורה הציבורית."
686820	243969	https://he.wikipedia.org/wiki?curid=686820	דמיטרי קרויטר	"דמיטרי ""דימה"" קרויטר (ברוסית: Дмитрий Кройтер; נולד ב-18 בפברואר 1993) הוא אתלט ישראלי, 7 פעמים אלוף ישראל (2009, 2011, 2012, 2014, 2015, 2017 ו-2018), אלוף העולם לקדטים, אלוף אולימפי לנוער וסגן-אלוף אירופה עד גיל 23 בקפיצה לגובה. שיאו האישי אותו קבע באוגוסט 2015, הוא 2.29 מטר.
ביוגרפיה.
קרויטר נולד בעיר נריונגרי הנמצאת בדרום יקוטיה שבמזרח רוסיה ועלה לישראל ב-1999 עם אמו. עד יולי 2009 החזיק בתעודת מעבר בלבד ולא בדרכון ישראלי, זאת לאחר שמשרד הפנים סירב להנפיק לו דרכון בדרישה שיציג מסמכים מאביו, שאינו נמצא בקשר עמו מאז גירושי הוריו. למד בבית הספר שבח מופת בתל אביב.
קריירה.
בגיל 14 וחצי השתתף לראשונה באליפות ישראל לבוגרים וקבע תוצאה של 1.98 מטר. שנה מאוחר יותר, ב-2008, העפיל לגמר באליפות ישראל, בו קבע תוצאה זהה שהספיקה לו למקום החמישי. באותה שנה קבע תוצאה של 2.12 מטר באליפות אירופה למועדונים שנערכה בפורטוגל. 
בשנת 2009 התמודד בפעם השלישית באליפות ישראל באתלטיקה לבוגרים, ממנה נעדר ניקי פאלי, הזוכה בארבע האליפויות הקודמות. קרויטר קבע בגמר תוצאה של 2.19 מטר וזכה במקום הראשון ובתואר אלוף ישראל. 
באליפות העולם באתלטיקה לקאדטים שנערכה בקיץ 2009 בברסנונה שבאיטליה, זכה קרויטר במדליית הזהב לאחר שעבר בניסיון הראשון גובה של 2.20 מטר. בכך היה לאתלט הישראלי הראשון שזוכה בתואר אלוף העולם במפעל זה. 
במרץ 2010, בתחרות האתלטיקה הארצית של בתי הספר שבר קרויטר את שיא בתי הספר בקפיצה של 2.22 מטר.
קרויטר משתייך לאגודת הספורט של מכבי תל אביב ומתאמן תחת הדרכתו של אנטולי שפרן. 
באולימפיאדת הנוער שנערכה בסינגפור באוגוסט אותה שנה זכה קרויטר במדליית זהב בקפיצה לגובה כשעבר גובה של 2.19 מטר, לפני ברנדון סטארק מאוסטרליה (2.19 מטר). 
2011.
בתחרות אתלטיקה שנערכה בהדר יוסף בפברואר 2011, קבע קרויטר שיא אישי של 2.28 מטר, כבר בניסיון הראשון, תוצאה שרק ששני קופצים ישראלים בעבר הצליחו להשיג טובה ממנה (קונסטנטין מטוסביץ' וניקי פאלי). באליפות העולם באתלטיקה 2011 לא העפיל לגמר וסיים במקום ה-31 בלבד עם תוצאה של 2.16 מטר. 
2012.
באליפות העולם לנוער (עד גיל 19) שנערכה בברצלונה, ספרד ב-2012 סיים במקום רביעי ביחד עם איליה איוואניוק מרוסיה בתוצאה של 2.21 מטר.
קרויטר סבל מפציעה ממושכת ברגלו ואף עמד לפרוש מאתלטיקה עד שעבר טיפולים בגרמניה.
2015.
באליפות אירופה באתלטיקה עד גיל 23 שנערכה ביולי בטאלין שבאסטוניה, זכה במדליית כסף בקפיצה לגובה בתוצאה של 2.24 מטר, אחרי איליה איוואניוק (2.30 מטר). באוגוסט 2015 שיפר את שיאו האישי כשעבר גובה של 2.29 מטר. בכך הבטיח את הקריטריון להשתתפות באולימפיאדת ריו דה ז'ניירו.
2016.
באליפות אירופה שנערכה באמסטרדם, הולנד ביולי 2016 סיים קרויטר במקום 13 בקפיצה לגובה בתוצאה של 2.23 מטר. באולימפיאדת ריו דה ז'ניירו קבע תוצאה של 2.17 מטר ולא עבר את שלב המוקדמות.
2017.
באוניברסיאדה שהתקיימה בטאיפיי, טאיוון בשנת 2017, סיים דימה קרויטר במקום ה-6 לאחר שקבע תוצאה של 2.23 מטר."
992489	942806	https://he.wikipedia.org/wiki?curid=992489	רות דולורס וייס	"רות דולורס וייס (נולדה ב־23 בפברואר 1978) היא זמרת-יוצרת ישראלית.
ביוגרפיה.
וייס נולדה באשקלון, להורים שעלו מאוקראינה ב־1973. היא חיה מספר שנים באוסטין שבטקסס. בהיותה נערה נטלה לעצמה את השם האמצעי ""דולורס"" שמשמעותו בלאדינו עצבות ואומללות. למדה בתיכון הישראלי למדעים ולאמנויות בירושלים. הדמות ממנה שאבה השראה הייתה הזמר טום וייטס, שהתוודעה אליו דרך האלבום ""Bone Machine"", שקיבלה ליום הולדתה החמישה עשר. ב־1997, בגיל 19, עברה מאשקלון לתל אביב והקימה להקה בשם ""B-Blond"". ב־2003 הקימה את להקת ""River Styx"" (""נהר סטיקס"") עם חבר הלהקה, שי לוינשטיין, עם סתו נחום ועם נגן הקונטרבס יהוא ירון.
תקליטה הראשון ""(Come See (Raw Versions"" יצא לאור באוגוסט 2004, ובו שרה באנגלית בלבד בליווי פסנתר. תקליטה השני ""בעברית"", שיצא באוגוסט 2008 כלל שירים בעברית. בינואר 2012 יצא לאור תקליטה השלישי, ""My Middle Name is Misery"" (שמי האמצעי הוא אומללות), בו היא מבצעת בליווי בלתי־שגרתי שכולל את הקונטרבס של יהוא ירון וכלי נשיפה, גרסאות כיסוי לשירים של אלביס קוסטלו, דייוויד בואי, נינה סימון, בוב דילן, ניק קייב, בילי הולידיי, קינג קרימזון, רוברט ואייט ואחרים, בהם אף ביצוע לשיר הפופ-דאנס ""Toxic"" של זמרת הפופ בריטני ספירס. התקליטים זכו לאהדת הביקורת. במרץ 2014 יצא אלבומה ""בשפת בני האדם"". בנובמבר 2014 הופיעה עם שלמה יידוב.
לווייס קול עמוק וייחודי, בעל צרידות ומנעד רחב. סגנונה משלב בין ג'אז, בלוז, מוזיקת נשמה, פולק ומוזיקת רוק. הביצוע שלה לשיר ""משירי ארץ אהבתי"", למשל, מתואר על ידי מבקר המוזיקה של עיתון הארץ, בן שלו במילים ""כדור שלג מתגלגל של רגש חשוף, שמאיים לקבור תחתיו את הזמרת עצמה"". בפברואר 2012 כתב שלו: ""רות דולורס וייס היא הזמרת הכי טובה שעלתה על במת המוזיקה הישראלית בשנים האחרונות"".
ב-2020, הביצוע שלה ל""שירי ארץ אהבתי"" זכה לחשיפה מחודשת עקב שימושו בסדרה ""שעת נעילה""."
89949	884649	https://he.wikipedia.org/wiki?curid=89949	טלספורוס	"טלספורוס (בלטינית: Telesphorus; נפטר בשנת 137) היה האפיפיור השמיני במספר שכיהן החל משנת 125 או 126 ועד שנת 136 או 137 לספירה. כהונתו החלה תחת שלטון הדריאנוס והוא חזה ברדיפת הנוצרים על–ידו, רדיפה שבאה אל קיצה תחת שלטון אנטונינוס פיוס. ספר השנים של הוותיקן טוען כי היה יווני במוצאו ושלט מ-127 או 128 עד 137 או 138. המסורת של מיסת חצות בחג המולד וחגיגת הפסחא ביום ראשון (כדי להבדיל מחג הפסח שיכול לחול בימים נוספים), שמירת שבעה שבועות של תענית לפני הפסחא ושירת הגלוריה מיוחסים בדרך כלל לתקופת כהונתו, אך היסטוריונים רבים מפקפקים אם הייחוס הזה מדויק.
לפי אירנאיוס היה טלספורוס מרטיר, והוא האפיפיור השני בלבד (אחרי פטרוס הקדוש) אשר מות הקדושים שלו זכה לאישוש היסטורי. המסדר הכרמליתי רואה בטלספורוס הקדוש הפטרון של המסדר, משום שנטען שחי על הר הכרמל כנזיר מתבודד."
1508731	243969	https://he.wikipedia.org/wiki?curid=1508731	סיארה (כדורגל)	"סיארה הוא מועדון כדורגל ברזילאי המייצג את העיר פורטלזה שבברזיל. נכון לשנת 2018 משחק המועדון בליגת העל הברזילאית. 
המועדון הוקם בשנת 1914. בהיותו המועדון הוותיק במדינת סיארה הוא קיבל כינוי ""סבא"". בשנת 1971 הקבוצה לראשונה השתתפה בליגה הבכירה ונשרה ממנה לאחר עונה בודדת. בשנת 1985 הקבוצה זכתה במקום ה-7, הגבוה ביותר בתולדות המועדון. בשנת 1994 הקבוצה הגיעה לגמר גביע ברזיל. בעקבות כך בשנת 1995 היא השתתפה בתחרות גביע קונמבול.
לזכותו של המועדון 44 זכיות באליפות סיארה."
103402	243969	https://he.wikipedia.org/wiki?curid=103402	בוככוס הראשון, מלך מאוריטניה	" &lt;ns&gt;0&lt;/ns&gt;
 &lt;revision&gt;
 &lt;parentid&gt;32617272&lt;/parentid&gt;
 &lt;timestamp&gt;2022-01-26T03:32:10Z&lt;/timestamp&gt;
 &lt;contributor&gt;
 &lt;username&gt;KotzBot&lt;/username&gt;
 &lt;/contributor&gt;
 &lt;minor /&gt;
 &lt;comment&gt;הוספת בקישורים חיצוניים במידה וחסר ()&lt;/comment&gt;
 &lt;model&gt;wikitext&lt;/model&gt;
 &lt;format&gt;text/x-wiki&lt;/format&gt;
בוככוס או בוקכוס הראשון (Bocchus) היה מלך מאוריטניה בסוף המאה ה-2 לפנה""ס ובתחילת המאה ה-1 לפנה""ס. כחמו של יוגורתה, מילא בוככוס תפקיד חשוב במלחמת יוגורתה שנערכה בין הרפובליקה הרומית לבין ממלכת נומידיה.
עם פרוץ מלחמת יוגורתה ניסה בוככוס לכרות ברית עם הרפובליקה הרומית נגד יוגורתה, אולם בשנת 111 לפנה""ס נדחתה הצעתו על ידי הסנאט הרומי והוא החליט לתמוך בחתנו. בשנת 108 חתם בוככוס על הסכם עם יוגורתה והחל להתכונן למלחמה ברומא.
לאחר שהמצביא הרומי קוינטוס קיקיליוס מטלוס הביס את כוחותיו של יוגורתה בקפסא, ברח זה אל בוככוס שקיבל אותו בזרועות פתוחות. בוככוס שיחק משחק כפול לאורך המלחמה: במקביל למהלכיו הצבאיים ותמיכתו בחתנו, הוא ניהל כל העת משא ומתן מתמשך עם רומא. תאודור מומזן מדגיש את אי אמינותו של בוככוס ואת היחס החשדני שהפגינו כלפיו שני הצדדים. 
בשנת 106 לפנה""ס ערך גאיוס מריוס, המצביא החדש של הצבא הרומי, מסע מלחמה לעבר מבצר נהר המולכט. בחזרתו מהנהר, הותקף על ידי כוחותיהם המשולבים של בוככוס ויוגורתה. מריוס הופתע, ונראה היה שפרשיו של בוככוס יצליחו להביסו. אולם, בזכות עזרתו של לוקיוס קורנליוס סולה, ששימש כאחד מקציניו, הצליח מריוס לארגן את צבאו מחדש ולהדוף את הנומידים והמאוריטנים.
בשנים 106 ו-105 לפנה""ס נערך משא ומתן בין בוככוס לבין גאיוס מריוס, שהוביל לכריתת ברית בין מאוריטניה ורומא. בתמורה לשלום עם רומא, דרש מריוס מבוככוס להסגיר את חתנו. בוככוס דרש שסולה יהיה זה שיחתום את החוזה סופית, ושרק לידיו יסגיר את יוגורתה. מריוס הסכים, למרות חששותיו שסולה (שמונה בינתיים לסגנו בעקבות הצטיינותו בלחימה), ייתפס על ידי בוככוס וישמש כבן ערובה. סולה נשלח למחנהו של בוככוס ועבר דרך כוחותיו של יוגורתה בליווי בנו של בוככוס, וולכוס. כמובטח, הונה בוככוס את יוגורתה ומסר אותו לידי חייליו של סולה. 
לפי מקורות מסוימים, מימן בוככוס את בנייתו של פסל זהב שהוצב על גבעת הקפיטולין והנציח את מסירתו של יוגורתה לסולה. הפסל היה אחד מהגורמים שתרמו לעוינות שנוצרה בין סולה לגאיוס מריוס.
לאחר מותו של בוככוס עלו לשלטון בניו בוככוס השני ובוגוד."
1787845	243969	https://he.wikipedia.org/wiki?curid=1787845	טלסקופ אופטי	"טלסקופ אופטי הוא מכשיר לצפייה בעצמים רחוקים. טלסקופ אופטי אוסף ומרכז אור בעיקר מהתחום הנראה של הספקטרום האלקטרומגנטי, ישנם טלסקופים שעובדים בתחום התת-אדום והעל סגול, בצורתו הפשוטה ביותר הטלסקופ הוא צינור שבכל אחד מקצותיו עדשה מרכזת. טלסקופים עובדים בכל אורכי הגל של הקרינה האלקטרומגנטית (למשל: רדיו טלסקופ).
סוגי טלסקופים אופטיים.
טלסקופים אופטיים נחלקים לשלושה סוגים:טלסקופ קטדיופטרי עובד באמצעות שילוב של עדשות ומראות. טלסקופ מחזיר-אור עובד באמצעות סידור של מראות. סוג זה קל מהאחרים לבנייה בגודל גדול, ולכן הוא היחיד המשמש בטלסקופים אסטרונומיים גדולים. טלסקופ שובר-אור עובד באמצעות סידור של כמה עדשות.
שימושים במילה טלסקופ.
המילה טלסקופ במקור שימשה לתיאור כלי הנועד לצפייה בתחום האור הנראה באמצעות העין האנושית ומטרתו הייתה להגדיל זוויתית את העצם או העצמים שעליו אנו צופים ובכך להפוך אותם לגדולים (זוויתית).בנוסף, נעשה שימוש במילה טלסקופ בשביל לתאר מכשירים הצופים בקרינה חלקיקית (למשל טלסקופ ניוטרינו)."
1586868	243969	https://he.wikipedia.org/wiki?curid=1586868	אנסבך (עיר)	"אנסבך (בגרמנית: ) היא עיר במדינת בוואריה שבגרמניה המהווה עיר הבירה של אזור מרכז פרנקוניה. אנסבך ממוקמת 40 קילומטרים מדרום מערב לנירנברג ו-140 קילומטרים מצפון למינכן. בשנת 2016 העיר מנתה אוכלוסייה של 41,532.
היסטוריה.
במלחמת העולם השנייה היו בעיר בסיסים של לופטוואפה והוורמאכט. ב-18 אפריל 1945 הגיע הקורפוס ה-21 לאנסבך. רוברט לימפרט, סטודנט בן 19 ניסה לפעול לכניעת העיר ללא קרב לאמריקאים, וחתך את חוטי הטלפון שחיברו את מפקדת העיר למטה הוורמאכט - הוא נתפס ונידון למוות. "
