id	revid	url	title	line
125202	824068	https://he.wikipedia.org/wiki?curid=125202	הפדרציה הבין-לאומית לטניס	"פדרציה לאומי טניס ( אנגלית : International Tennis Federation , ראש תיבה : ITF ) פדרציה לאומי ניהל ענף טניס עולם . מאגדה התאחדות טניס 211 מדינה . נוסד - 1913 פריז נקרא מקור ( 1977 ) "" פדרציה טניס - דשא ללאומי "" ( ILTF ) יום טניס שחק כמעט מגרש דשא . משרד נמצא לונדון נשיאה נוכחי דייוויד אגרטי ארץ ברית . תחרות עיקרי אורגן יד - ITF גביע דייוויס , גביע פדרציה טורניר אולימפי טניס ."
1267328	27760	https://he.wikipedia.org/wiki?curid=1267328	1981 בספורט	"ג'ודו . אליפות עולם גלוד גבר נערך מאסטריכט הולנד . יפן זכה - 4 מדליה זהב ( 6 סה""ך ) , ברית מועצה מדליה זהב ( 4 סה""ך ) , צרפת מדליה זהב ( 3 סה""ך ) , קוריאה דרומי מדליה זהב ( 3 סה""ך ) בריטניה מדליה זהב . טניס . גביע דייוויס . נבחרת ארץ ברית ( ) זכה גביע ניצחון 1 - 3 נבחרת ארגנטינה ( ) . כדורסל . תחרות בינלאומי . אליפות אירופה . נבחרת ברית מועצה ( ) זכה אליפות . אליפות דרום אמריקה . אורוגוואי ( ) זכה אליפות רזיל ( ) זכה מקום . גביע אירופה אלופה . מכבי תל אביב ( ) זכה אליפות ניצח גמר וירטוס בולוניה ( ) . גביע אירופה החזיק גביע . קאנטו ( ) ניצח ברצלונה ( ) 82 : 86 ."
22616	30670973	https://he.wikipedia.org/wiki?curid=22616	אינטגרציה גזעית	אִינְטֶגְרַצְיָה גִּזְעִית ( דֶסֶגְרֶגַצְיָה ) גישה מנע סגרגציה ( הפרדה גזעי ) גזע שונה מדינה יד מתן זכות שווה זדמנות שווה , אפליה תיקן . מונח התייחס בעיקר דסגרגציה ארץ ברית . ארץ ברית . מאבק אינטגרציה גזעי מרכיב חשוב מאבק אפרו - אמריקני שיווי זכות . צעד בולט החלה אינטגרציה גזעי ארץ ברית החלטה תקדימי בית משפט עליון ארץ ברית , ניתן שנה 1954 פסק דין בראון מועצה חינוך , נקבע הפרדה גזעי נהג אז בית ספר חוקה אמריקני לפיכך אינו חוקי . החלטה התקלה התנגדות עזה מושל מדינה ארקנסו , התנגדות גרם התערבות כוח צבאי פדרלי אכף מימוש החלטה ( אירוע ידע משבר ליטל רוק ) . דצמבר 1955 עמד מרטין ויתר קינג ראש חרם תחבורה ציבורי מונטגומרי אלבמה , מטרה הפסקה הפרדה שחור לבן אוטובוס ; חרם נמשך שנה , סוף דבר החליט בית משפט עליון הוציא חוץ חוק אפליה תחבורה ציבורי .
686820	243969	https://he.wikipedia.org/wiki?curid=686820	דמיטרי קרויטר	"דמיטרי "" דימה "" קרויטר ( רוסית : Дмитрий Кройтер ; נולד - 18 פברואר 1993 ) אתלט ישראלי , 7 פעם אלוף ישראל ( 2009 , 2011 , 2012 , 2014 , 2015 , 2017 - 2018 ) , אלוף עולם קדט , אלוף אולימפי נוער סגן - אלוף אירופה גיל 23 קפיצה גובה . שיא אישי קבע אוגוסט 2015 , 2.29 מטר . ביוגרפיה . קרויטר נולד עיר נריונגרי נמצא דרום יקוטיה מזרח רוסיה עלה ישראל - 1999 . יולי 2009 החזיק תעודה בלבד דרכון ישראלי , משרד פנים סירב הנפיק דרכון דרישה הציג מסמך מאב , אינו נמצא קשר אז גירוש הורה . למד בית ספר בח מופת תל אביב . קריירה . גיל 14 חץ השתתף לראשונה אליפות ישראל בוגר קבע תוצאה 1.98 מטר . שנה מאוחר , - 2008 , העפיל גמר אליפות ישראל , קבע תוצאה זהה הספיק מקום חמישי . שנה קבע תוצאה 2.12 מטר אליפות אירופה מועדון נערך פורטוגל . שנה 2009 התמודד פעם שלישית אליפות ישראל אתלטיקה בוגר , נעדר ניקי פאלי , זכה ארבע אליפות . קרויטר קבע גמר תוצאה 2.19 מטר זכה מקום ראשון תואר אלוף ישראל . אליפות עולם אתלטיקה קאדט נערך קיץ 2009 ברסנונה איטליה , זכה קרויטר מדליה זהב ניסיון ראשון גובה 2.20 מטר . אתלט ישראלי ראשון זכה תואר אלוף עולם מפעל . מרץ 2010 , תחרות אתלטיקה ארצי בית ספר שבר קרויטר שיא בית ספר קפיצה 2.22 מטר . קרויטר השתייך אגודה ספורט מכבי תל אביב התאמן הדרכה אנטולי שפרן . אולימפיאדה נוער נערך סינגפור אוגוסט שנה זכה קרויטר מדליה זהב קפיצה גובה גובה 2.19 מטר , רנדון סטארק אוסטרליה ( 2.19 מטר ) . 2011 . תחרות אתלטיקה נערך הדר יוסף פברואר 2011 , קבע קרויטר שיא אישי 2.28 מטר , כבר ניסיון ראשון , תוצאה קופץ ישראלי הצליח השיג טובה ( קונסטנטין מטוסביץ' ניקי פאלי ) . אליפות עולם אתלטיקה 2011 העפיל גמר סיים מקום - 31 בלבד תוצאה 2.16 מטר . 2012 . אליפות עולם נוער ( גיל 19 ) נערך ברצלונה , ספרד - 2012 סיים מקום רביעי ביחד איליה איוואניוק רוסיה תוצאה 2.21 מטר . קרויטר סבל פציעה ממושך רגל עמד פרש אתלטיקה טיפול גרמניה . 2015 . אליפות אירופה אתלטיקה גיל 23 נערך יולי טאלין אסטוניה , זכה מדליה כסף קפיצה גובה תוצאה 2.24 מטר , איליה איוואניוק ( 2.30 מטר ) . אוגוסט 2015 שיפר שיא אישי גובה 2.29 מטר . הבטיח קריטריון השתתפות אולימפיאדה ריו דה ז'ניירו . 2016 . אליפות אירופה נערך אמסטרדם , הולנד יולי 2016 סיים קרויטר 13 קפיצה גובה תוצאה 2.23 מטר . אולימפיאדה ריו דה ז'ניירו קבע תוצאה 2.17 מטר שלב מוקדם . 2017 . אוניברסיה התקיים טאיפיי , טאיוון שנה 2017 , סיים דימה קרויטר - 6 קבע תוצאה 2.23 מטר ."
992489	942806	https://he.wikipedia.org/wiki?curid=992489	רות דולורס וייס	"רות דולורס וייס ( נולד פ13 פברואר 1978 ) זמרת - יצר ישראלי . ביוגרפיה . וייס נולד אשקלון , הורה עלה אוקראינה א1973 . חיה שנה אוסטין טקסס . היותה נערה נטל אמצעי "" דולורס "" משמעות לאדי עצבות אומללות . למד תיכון ישראלי מדע אמנות ירושלים . דמות שאב השראה זמר טום וייטס , התוודע אלבום "" Bone Machine "" , קיבל יום הולדת חמישה עשר . א1997 , גיל 19 , אשקלון תל אביב הקים להקה "" B - Blond "" . פ1003 הקים להקה "" River Styx "" ( "" נהר סטיקס "" ) חבר להקה , שי לוינשטיין , סתו נחום נגן קונטרבס יהוא ירון . תקליט ראשון "" ( ליקל See ( Raw Versions "" יצא אור אוגוסט 2004 , שר אנגלית בלבד ליווי פסנתר . תקליט "" עברית "" , יצא אוגוסט 2008 שיר עברית . ינואר 2012 יצא אור תקליט שלישי , "" ח פפפפק Name is Misery "" ( אמצע אומללות ) , ביצע ליווי בלתי ־שגרתי קונטרבס יהוא ירון כלי נשיפה , גרסה כיסוי שיר אלביס קוסטלו , דייוויד בא , נינה סימון , בוב דילן , ניק קייב , בילי הולידיי , קינג קרימזון , רוברט ואייט , ביצוע שיר פופ - דאנס "" Toxic "" זמרת פופ בריטני ספירס . תקליט זכה אהדה ביקורת . מרץ 2014 יצא אלבום "" שפה בן אדם "" . נובמבר 2014 הופיע שלמה יידוב . לווייס קול עמוק ייחודי , בעל צרידה מנעד רחב . סגן שילב ג'אז , בלוז , מוזיקה נשמה , פולק מוזיקה רוק . ביצוע שיר "" משיר ארץ אהב "" , , תואר יד מבקר מוזיקה עיתון ארץ , בן מיל "" כדור שלג התגלגל רגש חשוף , איים קבר תחה זמרת "" . פברואר 2012 כתב : "" רות דולורס וייס זמרת הכי טוב עלה במת מוזיקה ישראלי שנה אחרון "" . - 2020 , ביצוע "" שיר ארץ אהבתי "" זכה חשיפה מחודש ימושו סדרה "" שעה נעילה "" ."
89949	884649	https://he.wikipedia.org/wiki?curid=89949	טלספורוס	טלספורוס ( בלטינית : Telesphorus ; נפטר שנה 137 ) אפיפיור שמיני שכ שנה 125 126 שנה 136 137 ספירה . כהונה שלטון דריאנוס חזה רדיפה נוצר – יד , רדיפה בא קיצה שלטון אנטונינוס פיוס . ספר שנה וותיקן טען יווני מוצא שלט - 127 128 137 138 . מסורת מסה חצות חג מולד חגיגה פסחא יום ראשון ( הבדיל חג פסח יכול חל יום נוסף ) , שמירה שבעה שבוע תענית פסחא שירת גלוריה יוחס תקופה כהונה , היסטוריון רב פקפק ייחוס מדויק . אירנאיוס טלספורוס מרטיר , אפיפיור בלבד ( פטרוס קדוש ) מוות קדוש זכה אישוש היסטורי . מסדר כרמליתי ראה טלספורוס קדוש פטרון מסדר , נטען חי הר כרמל נזיר התבודד .
1508731	243969	https://he.wikipedia.org/wiki?curid=1508731	סיארה (כדורגל)	"סיארה מועדון כדורגל ברזילאי ייצג עיר פורטלזה ברזיל . שנה 2018 שיחק מועדון ליגה ברזילאי . מועדון הוקם שנה 1914 . מועדון ותיק מדינה סיארה קיבל כינוי "" סבא "" . שנה 1971 קבוצה לראשונה השתתף ליגה בכיר נשר עונה בודד . שנה 1985 קבוצה זכה מקום - 7 , גבוה תולדה מועדון . שנה 1994 קבוצה הגיע גמר גביע ברזיל . שנה 1995 השתתף תחרות גביע קונמבול . זכות מועדון 44 זכייה אליפות סיארה ."
103402	243969	https://he.wikipedia.org/wiki?curid=103402	בוככוס הראשון, מלך מאוריטניה	"& lt ; ns &gt ; 0 & lt ; / ns &gt ; & lt ; revision &gt ; & lt ; parentid &gt ; 32617272 & lt ; / parentid &gt ; & lt ; timestamp &gt ; 2022 - 01 - 26T03 : 32 : 10Z & lt ; / timestamp &gt ; & lt ; contributor &gt ; & lt ; username &gt ; Kotz פ חח & lt ; / username &gt ; & lt ; / contributor &gt ; & lt ; minor / &gt ; & lt ; comment &gt ; הוספה קישורים חיצוני מידה חסר ( ) & lt ; / comment &gt ; & lt ; model &gt ; wikitext & lt ; / model &gt ; & lt ; format &gt ; text / x - wiki & lt ; / format &gt ; בוככוס בוקכוס ראשון ( Bocchus ) מלך אוריטניה סוף מאה - 2 פנה""ס תחילה מאה - 1 פנה""ס . חם יוגורתה , מילא בוככוס תפקיד חשוב מלחמה יוגורתה נערך רפובליקה רומי ממלכה נומידיה . פרוץ מלחמה יוגורתה ניסה בוככוס _ ברית רפובליקה רומי יוגורתה , שנה 111 פנה""ס נדחה הצעה יד סנאט רומי החליט תמך חתנו . שנה 108 חתם בוככוס הסכם יוגורתה התכונן מלחמה רומא . מצביא רומי קוינטוס קיקיליוס מטלוס הביס כוח יוגורתה קפסא , ברח בוככוס קיבל זרוע פתוח . בוככוס שיחק משחק כפול מלחמה : במקביל מהלך צבאי תמיכה חתנו , ניהל משא מתן התמשך רומא . תאודור מומזן הדגיש אמינות בוככוס יחס חשדני הפגין צד . שנה 106 פנה""ס ערך גאיוס מריוס , מצביא חדש צבא רומי , מסע מלחמה מבצר נהר מולכט . חזרה נהר , הותקף יד כוח משולב בוככוס יוגורת . מריוס הופתע , נראה פרש בוככוס הצליח הביס . , עזרה לוקיוס קורנליוס סולה , שימש קצין , הצליח מריוס ארגן צבא מחדש הדוף נומיד מאוריטן . שנה 106 - 105 פנה""ס נערך משא מתן בוככוס גאיוס מריוס , הוביל כרית ברית מאוריטניה רומא . תמורה שלום רומא , דרש מריוס בוככוס הסגיר חתנו . בוככוס דרש סולה חתם חוזה סופית , שרק יד הסגיר יוגורת . מריוס הסכים , חשש סולה ( מנה בינתיים סגן הצטיינות לחימה ) , נתפס יד בוככוס שימש בן ערובה . סולה נשלח מחנה בוככוס כוח יוגורתה ליווי בן בוככוס , וולכוס . טח , הונה בוככוס יוגורת מסר חייל סולה . מקור מסוים , מימן בוככוס נייה פסל זהב הוצב גבעה קפיטולין הנציח מסירה יוגורתה סולה . פסל גורם תרם עוינות נוצר סולה גאיוס מריוס . מוות בוככוס עלה שלטון ניו בוככוס בוגוד ."
1787845	243969	https://he.wikipedia.org/wiki?curid=1787845	טלסקופ אופטי	טלסקופ אופטי מכשיר צפייה עצם רחוק . טלסקופ אופטי אוסף מרכז אור בעיקר תחום נראה ספקטרום אלקטרומגנטי , טלסקוף עבד תחום תת - אדום סגול , צורה פשוט טלסקופ צינור מקצה עדשה ריכז . טלסקוף עבד אורך גל קרינה אלקטרומגטי ( : רדיו טלסקופ ) . סוג טלסקוף אופטי . טלסקוף אופטי נחלק שלושה סוג : טלסקופ קטדיופטרי עובד שילוב עדשה מראה . טלסקופ החזיר - אור עובד סידור מראה . סוג קל בנייה גודל גדול , לכן יחיד שימש טלסקוף אסטרונומי גדול . טלסקופ שבר - אור עובד סידור עדשה . שימוש מילה טלסקופ . מילה טלסקופ מקור שימש תיאור כלי נועד צפייה תחום אור נראה עין אנושי מטרה הגדיל זוויתית עצם עצם צפה הפך גדול ( זוויתי ) . בנוסף , נעשה שימוש מילה טלסקופ תיאר מכשיר צפה קרינה חלקיקי ( טלסקופ ניוטרינו ) .
1586868	243969	https://he.wikipedia.org/wiki?curid=1586868	אנסבך (עיר)	אנסבך ( גרמנית : ) עיר מדינה בוואריה גרמניה היווה עיר בירה אזור מרכז פרנקוניה . אנסבך מוקם 40 קילומטר דרום מערב נירנברג - 140 קילומטר צפון מינכן . שנה 2016 עיר מנה אוכלוסייה 41,532 . היסטוריה . מלחמה עולם שנייה עיר בסיס לופטוואפה וורמאכט . - 18 אפריל 1945 הגיע קורפוס - 21 אנסבך . רוברט לימפרט , סטודנט בן 19 ניסה פעל כניעה עיר קרב אמריקני , חתך חוט טלפון חיבר מפקדה עיר מטה וורמאכט - נתפס נידון מוות .
